Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF5;0801180-27.2021.4.05.8400;2024;{12496};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};;
TRF5;0800065-43.2024.4.05.0000;2024;{12496};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0806631-08.2024.4.05.0000;2024;{9196,12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE ARACAJU,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0816636-89.2024.4.05.0000;2024;{12495};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0803763-86.2024.4.05.8300;2024;{12494};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0825353-56.2023.4.05.8300;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0800890-38.2023.4.05.8401;2024;{12503};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DO RIO GRANDE DO NORTE,MUNICIPIO DE MOSSORO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,MUNICIPIO}
TRF5;0806125-32.2024.4.05.0000;2024;{12503};{MUNICIPIO DE ARACAJU};{MUNICIPIO};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0801490-47.2023.4.05.8308;2024;{12496};{ADVOCACIA GERAL DA UNIAO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0815290-06.2024.4.05.0000;2024;{12503};;;{ADVOCACIA GERAL DA UNIAO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF5;0807365-56.2024.4.05.0000;2024;{12496};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0813444-51.2024.4.05.0000;2024;{12494};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0811406-66.2024.4.05.0000;2024;{12496,12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE MACEIO,SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL}
TRF5;0809344-53.2024.4.05.0000;2024;{12495};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};;
TRF5;0808717-49.2024.4.05.0000;2024;{9196,12495};{ESTADO DO CEARA};{ESTADO OU DISTRITO FEDERAL};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF5;0800235-20.2024.4.05.8308;2025;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0811112-14.2024.4.05.0000;2024;{10880,12496};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL};;
TRF5;0811367-98.2024.4.05.8300;2024;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
